FECHA (YYMMDD);HORA (HHMM);;
151221;0100;81;
151221;0200;82;
151221;0300;86;
151221;0400;86;
151221;0500;86;
151221;0600;86;
151221;0700;86;
151221;0800;89;
151221;0900;72;
151221;1000;67;
151221;1100;63;
151221;1200;68;
151221;1300;65;
151221;1400;55;
151221;1500;47;
151221;1600;47;
151221;1700;48;
151221;1800;53;
151221;1900;58;
151221;2000;65;
151221;2100;70;
151221;2200;75;
151221;2300;77;
151222;0000;73;
151222;0100;69;
151222;0200;72;
151222;0300;77;
151222;0400;81;
151222;0500;81;
151222;0600;79;
151222;0700;71;
151222;0800;70;
151222;0900;64;
151222;1000;55;
151222;1100;52;
151222;1200;62;
151222;1300;64;
151222;1400;56;
151222;1500;53;
151222;1600;59;
151222;1700;64;
151222;1800;61;
151222;1900;61;
151222;2000;61;
151222;2100;63;
151222;2200;54;
151222;2300;68;
151223;0000;70;
151223;0100;70;
151223;0200;76;
151223;0300;81;
151223;0400;83;
151223;0500;86;
151223;0600;88;
151223;0700;87;
151223;0800;84;
151223;0900;68;
151223;1000;54;
151223;1100;56;
151223;1200;51;
151223;1300;46;
151223;1400;46;
151223;1500;53;
151223;1600;55;
151223;1700;57;
151223;1800;61;
151223;1900;62;
151223;2000;63;
151223;2100;65;
151223;2200;72;
151223;2300;69;
151224;0000;65;
151224;0100;68;
151224;0200;64;
151224;0300;61;
151224;0400;62;
151224;0500;58;
151224;0600;61;
151224;0700;61;
151224;0800;60;
151224;0900;59;
151224;1000;58;
151224;1100;59;
151224;1200;62;
151224;1300;54;
151224;1400;53;
151224;1500;54;
151224;1600;60;
151224;1700;70;
151224;1800;80;
151224;1900;83;
151224;2000;80;
151224;2100;76;
151224;2200;72;
151224;2300;71;
151225;0000;74;
151225;0100;75;
151225;0200;80;
151225;0300;72;
151225;0400;71;
151225;0500;67;
151225;0600;65;
151225;0700;60;
151225;0800;54;
151225;0900;47;
151225;1000;43;
151225;1100;39;
151225;1200;39;
151225;1300;43;
151225;1400;38;
151225;1500;35;
151225;1600;37;
151225;1700;41;
151225;1800;46;
151225;1900;54;
151225;2000;62;
151225;2100;67;
151225;2200;69;
151225;2300;69;
151226;0000;71;
151226;0100;74;
151226;0200;79;
151226;0300;79;
151226;0400;81;
151226;0500;86;
151226;0600;79;
151226;0700;79;
151226;0800;82;
151226;0900;84;
151226;1000;84;
151226;1100;80;
151226;1200;70;
151226;1300;65;
151226;1400;63;
151226;1500;63;
151226;1600;77;
151226;1700;80;
151226;1800;80;
151226;1900;85;
151226;2000;89;
151226;2100;86;
151226;2200;86;
151226;2300;82;
151227;0000;81;
151227;0100;81;
151227;0200;77;
151227;0300;76;
151227;0400;71;
151227;0500;72;
151227;0600;72;
151227;0700;70;
151227;0800;71;
151227;0900;65;
151227;1000;61;
151227;1100;57;
151227;1200;59;
151227;1300;65;
151227;1400;66;
151227;1500;72;
151227;1600;69;
151227;1700;67;
151227;1800;70;
151227;1900;78;
151227;2000;84;
151227;2100;83;
151227;2200;80;
151227;2300;78;
151228;0000;80;
151228;0100;80;
151228;0200;84;
151228;0300;85;
151228;0400;81;
151228;0500;77;
151228;0600;74;
151228;0700;67;
151228;0800;66;
151228;0900;59;
151228;1000;51;
151228;1100;69;
151228;1200;68;
151228;1300;51;
151228;1400;61;
151228;1500;55;
151228;1600;48;
151228;1700;49;
151228;1800;48;
151228;1900;50;
151228;2000;56;
151228;2100;56;
151228;2200;55;
151228;2300;57;
151229;0000;60;
151229;0100;63;
151229;0200;65;
151229;0300;66;
151229;0400;64;
151229;0500;65;
