FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
151221;0000;13,6283;;;
151222;0000;13,6361;;;
151223;0000;12,8568;;;
151224;0000;17,8701;;;
151225;0000;12,434;;;
151226;0000;14,1544;;;
151227;0000;9,79344;;;
151228;0000;12,0571;;;
151229;0000;11,5225;;;
151230;0000;11,1748;;;
151231;0000;16,3737;;;
160101;0000;14,3651;;;
160102;0000;11,3112;;;
160103;0000;9,85782;;;
160104;0000;12,1772;;;
160105;0000;8,99065;;;
160106;0000;7,91899;;;
160107;0000;9,14186;;;
160108;0000;7,28262;;;
160109;0000;6,80078;;;
160110;0000;4,63291;;;
160111;0000;5,03041;;;
160112;0000;5,76115;;;
160113;0000;;;1,42317;
160114;0000;;;1,84608;
160115;0000;;;4,0922;
160116;0000;9,23499;;;
160117;0000;6,24566;;;
160118;0000;6,9337;;;
160119;0000;11,0329;;;
160120;0000;9,15057;;;
160121;0000;9,18024;;;
160122;0000;5,27316;;;
160123;0000;6,65445;;;
160124;0000;8,14841;;;
160125;0000;9,94069;;;
160126;0000;12,9963;;;
160127;0000;9,5894;;;
160128;0000;4,91533;;;
160129;0000;9,58461;;;
160130;0000;10,6983;;;
160131;0000;8,90385;;;
160201;0000;11,0219;;;
160202;0000;10,5829;;;
160203;0000;5,6337;;;
160204;0000;25,6621;;;
160205;0000;22,3922;;;
160206;0000;23,6941;;;
160207;0000;10,6464;;;
160208;0000;8,90662;;;
160209;0000;5,79153;;;
160210;0000;6,95203;;;
160211;0000;5,00404;;;
160212;0000;;;;
160213;0000;6,06153;;;
160214;0000;4,59187;;;
160215;0000;4,82807;;;
160216;0000;9,72398;;;
160217;0000;10,4232;;;
160218;0000;6,15775;;;
160219;0000;7,70512;;;
160220;0000;9,38536;;;
160221;0000;8,29074;;;
160222;0000;11,7833;;;
160223;0000;15,9445;;;
160224;0000;10,4337;;;
160225;0000;9,82303;;;
160226;0000;10,9736;;;
160227;0000;16,0058;;;
160228;0000;16,7811;;;
160229;0000;18,8192;;;
160301;0000;15,3988;;;
160302;0000;15,9727;;;
160303;0000;7,31911;;;
160304;0000;7,58633;;;
160305;0000;10,4187;;;
160306;0000;7,9957;;;
160307;0000;10,7229;;;
160308;0000;11,6648;;;
160309;0000;20,7763;;;
160310;0000;13,8382;;;
160311;0000;13,5088;;;
160312;0000;25,9566;;;
160313;0000;15,4509;;;
160314;0000;16,7195;;;
160315;0000;13,3211;;;
160316;0000;21,5654;;;
160317;0000;17,8622;;;
160318;0000;13,2129;;;
160319;0000;14,2876;;;
160320;0000;8,84032;;;
160321;0000;9,99815;;;
160322;0000;8,30524;;;
160323;0000;19,3488;;;
160324;0000;25,135;;;
160325;0000;56,4791;;;
160326;0000;50,052;;;
160327;0000;21,4205;;;
160328;0000;19,3256;;;
160329;0000;47,5059;;;
160330;0000;20,476;;;
160331;0000;24,3938;;;
160401;0000;38,499;;;
160402;0000;18,4641;;;
160403;0000;22,3102;;;
160404;0000;29,6023;;;
160405;0000;83,8269;;;
160406;0000;34,957;;;
160407;0000;33,1393;;;
160408;0000;54,2953;;;
160409;0000;119,084;;;
160410;0000;116,582;;;
160411;0000;132,069;;;
160412;0000;131,343;;;
160413;0000;51,7433;;;
160414;0000;51,3851;;;
160415;0000;29,14;;;
160416;0000;30,6314;;;
160417;0000;63,1454;;;
160418;0000;42,6104;;;
160419;0000;30,6065;;;
160420;0000;28,5875;;;
160421;0000;40,3696;;;
160422;0000;96,9698;;;
160423;0000;78,8507;;;
160424;0000;116,776;;;
160425;0000;210,888;;;
160426;0000;291,315;;;
160427;0000;316,786;;;
160428;0000;80,547;;;
160429;0000;251,88;;;
160430;0000;161,357;;;
160501;0000;247,542;;;
160502;0000;294,143;;;
160503;0000;249,553;;;
160504;0000;247,105;;;
160505;0000;227,695;;;
160506;0000;233,515;;;
160507;0000;174,72;;;
160508;0000;47,6912;;;
160509;0000;41,7599;;;
160510;0000;38,8416;;;
160511;0000;67,4541;;;
160512;0000;148,968;;;
160513;0000;125,489;;;
160514;0000;;;;
160515;0000;68,7667;;;
160516;0000;75,2787;;;
160517;0000;127,617;;;
160518;0000;47,895;;;
160519;0000;247,731;;;
160520;0000;417,528;;;
160521;0000;412,595;;;
160522;0000;397,281;;;
160523;0000;351,375;;;
160524;0000;328,783;;;
160525;0000;25,1346;;;
160526;0000;;;;
160527;0000;130,223;;;
160528;0000;352,554;;;
160529;0000;280,267;;;
160530;0000;216,052;;;
160531;0000;100,51;;;
160601;0000;164,422;;;
160602;0000;270,765;;;
160603;0000;259,099;;;
160604;0000;124,65;;;
160605;0000;30,9566;;;
160606;0000;40,5058;;;
160607;0000;56,0441;;;
160608;0000;66,4641;;;
160609;0000;147,41;;;
160610;0000;118,677;;;
160611;0000;86,3804;;;
160612;0000;156,402;;;
160613;0000;57,9908;;;
160614;0000;52,7695;;;
160615;0000;66,4537;;;
160616;0000;44,9626;;;
160617;0000;102,028;;;
160618;0000;169,148;;;
160619;0000;345,712;;;
160620;0000;323,708;;;
